T1,T2,H1,H2,M1,M2,R1,R2
Prims DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Kat DNC,Sonja SMN
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Sonja SMN,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Blyze DRG,Sonja SAM,Kat DNC,Arg SMN
Sonja WAR,Prims DRK,Kat WHM,Celaena AST,Blyze MNK,Arg DRG,Livia DNC,Leone RDM
Prims PLD,Arg DRK,Blyze WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja BRD,Kat DNC
Livia PLD,Prims DRK,Blyze WHM,Celaena AST,Lloyd DRG,Sonja NIN,Arg SMN,Leone RDM
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Sonja MNK,Leone DRG,Kat BRD,Arg SMN
Livia PLD,Prims DRK,Kat WHM,Blyze AST,Leone MNK,Lloyd DRG,Sonja BRD,Arg SMN
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Livia DRG,Leone NIN,Sonja SMN,Kat RDM
Blyze PLD,Sonja DRK,Celaena WHM,Kat AST,Leone MNK,Lloyd DRG,Livia DNC,Arg SMN
Sonja WAR,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Livia DNC,Arg SMN
Prims PLD,Leone GNB,Kat WHM,Livia AST,Lloyd DRG,Blyze NIN,Sonja BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Sonja DNC,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Kat AST,Livia DRG,Blyze SAM,Sonja BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze SAM,Sonja BRD,Kat DNC
Livia PLD,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Prims SAM,Sonja DNC,Arg SMN
Livia DRK,Leone GNB,Celaena WHM,Kat AST,Blyze MNK,Prims SAM,Sonja BLM,Arg SMN
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Sonja NIN,Kat BRD,Livia DNC
Prims PLD,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Kat BRD,Sonja SMN
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Leone NIN,Sonja MCH,Kat DNC
Prims PLD,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Arg DRG,Livia DNC,Sonja RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Sonja DNC,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Sonja BRD,Leone RDM
Blyze PLD,Arg DRK,Kat WHM,Celaena AST,Lloyd DRG,Prims SAM,Sonja DNC,Leone RDM
Celaena PLD,Livia DRK,Blyze SCH,Kat AST,Lloyd DRG,Prims SAM,Sonja BRD,Leone RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja SMN
Prims PLD,Leone GNB,Kat WHM,Celaena AST,Blyze NIN,Sonja SAM,Livia DNC,Arg SMN
Livia PLD,Sonja GNB,Celaena WHM,Kat AST,Blyze DRG,Prims SAM,Arg SMN,Leone RDM
Livia DRK,Leone GNB,Celaena WHM,Kat AST,Blyze NIN,Prims SAM,Sonja BRD,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze SAM,Kat DNC,Arg SMN
Livia DRK,Leone GNB,Blyze SCH,Celaena AST,Arg DRG,Prims SAM,Kat DNC,Sonja BLM
Prims DRK,Leone GNB,Blyze SCH,Celaena AST,Arg DRG,Livia NIN,Kat BRD,Sonja DNC
Sonja PLD,Prims DRK,Kat WHM,Celaena AST,Blyze DRG,Livia NIN,Arg SMN,Leone RDM
Celaena PLD,Arg DRK,Kat WHM,Blyze AST,Sonja NIN,Prims SAM,Livia DNC,Leone RDM
Arg DRK,Leone GNB,Blyze SCH,Celaena AST,Sonja DRG,Prims SAM,Livia DNC,Kat RDM
Celaena PLD,Leone GNB,Blyze WHM,Livia AST,Arg DRG,Prims SAM,Sonja BRD,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Sonja MCH,Kat DNC
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Blyze MNK,Arg DRG,Sonja DNC,Leone RDM
Livia DRK,Leone GNB,Blyze WHM,Celaena AST,Lloyd DRG,Sonja SAM,Kat BRD,Arg SMN
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Arg DRG,Leone NIN,Kat BRD,Sonja MCH
Blyze PLD,Prims DRK,Kat WHM,Celaena AST,Leone MNK,Livia NIN,Arg SMN,Sonja RDM
Celaena PLD,Sonja WAR,Kat WHM,Blyze AST,Livia DRG,Prims SAM,Arg SMN,Leone RDM
Arg DRK,Sonja GNB,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Livia PLD,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Sonja NIN,Arg SMN,Kat RDM
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Leone NIN,Blyze SAM,Livia DNC,Arg SMN
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat DNC,Sonja BLM
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Lloyd DRG,Leone NIN,Sonja MCH,Arg SMN
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Lloyd DRG,Blyze SAM,Arg SMN,Sonja RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Livia NIN,Kat BRD,Sonja DNC
Blyze PLD,Sonja WAR,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Leone GNB,Celaena WHM,Kat AST,Sonja NIN,Prims SAM,Livia DNC,Arg SMN
Celaena PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Leone NIN,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat BRD,Sonja SMN
Prims PLD,Leone GNB,Kat WHM,Celaena AST,Lloyd DRG,Blyze SAM,Sonja DNC,Arg SMN
Sonja DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Sonja MCH,Arg SMN
Sonja PLD,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Arg SMN,Leone RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Sonja BRD,Kat DNC
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Sonja DNC,Arg SMN
Prims PLD,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Sonja BRD,Kat RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Leone NIN,Prims SAM,Sonja DNC,Kat RDM
Prims DRK,Leone GNB,Celaena WHM,Blyze AST,Arg DRG,Livia NIN,Kat BRD,Sonja MCH
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Leone DRG,Blyze SAM,Livia DNC,Arg SMN
Celaena PLD,Sonja DRK,Blyze WHM,Livia AST,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Celaena PLD,Sonja GNB,Kat WHM,Blyze SCH,Lloyd DRG,Livia NIN,Arg SMN,Leone RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze AST,Leone NIN,Prims SAM,Sonja MCH,Kat RDM
Celaena PLD,Prims DRK,Kat WHM,Livia AST,Arg DRG,Blyze NIN,Sonja MCH,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Lloyd DRG,Sonja SAM,Arg SMN,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Leone MNK,Livia NIN,Sonja DNC,Kat RDM
Livia DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Sonja BRD,Arg SMN
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Leone MNK,Blyze DRG,Livia DNC,Arg SMN
Celaena PLD,Leone GNB,Blyze SCH,Kat AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja BLM
Sonja WAR,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Prims PLD,Sonja DRK,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Kat DNC,Arg SMN
Livia PLD,Prims DRK,Celaena WHM,Blyze AST,Leone NIN,Sonja SAM,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Leone NIN,Sonja SAM,Livia DNC,Kat RDM
Celaena PLD,Sonja GNB,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Livia DRK,Leone GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Sonja MCH,Arg SMN
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Lloyd DRG,Blyze NIN,Sonja DNC,Arg SMN
Sonja WAR,Prims DRK,Blyze WHM,Celaena AST,Livia DRG,Leone NIN,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Kat WHM,Blyze SCH,Lloyd DRG,Leone NIN,Sonja MCH,Livia DNC
Prims PLD,Sonja WAR,Celaena WHM,Kat AST,Livia DRG,Blyze NIN,Arg SMN,Leone RDM
Sonja WAR,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Prims PLD,Sonja WAR,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Kat AST,Blyze DRG,Leone NIN,Livia DNC,Sonja SMN
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja MCH,Arg SMN
Celaena PLD,Livia DRK,Kat WHM,Blyze SCH,Leone MNK,Prims SAM,Sonja BLM,Arg SMN
Prims PLD,Sonja WAR,Blyze WHM,Celaena AST,Leone DRG,Livia NIN,Kat BRD,Arg SMN
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Lloyd DRG,Blyze NIN,Sonja MCH,Arg SMN
Livia PLD,Sonja DRK,Celaena WHM,Blyze SCH,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone DRG,Blyze SAM,Kat BRD,Sonja SMN
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Blyze MNK,Lloyd DRG,Sonja DNC,Arg SMN
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Lloyd DRG,Leone NIN,Sonja BRD,Kat RDM
Livia PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Sonja BRD,Kat DNC
Livia PLD,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Sonja SMN,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Arg SMN,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Blyze MNK,Arg DRG,Sonja SMN,Leone RDM
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Sonja MNK,Leone DRG,Kat BRD,Arg SMN
Livia DRK,Leone GNB,Celaena WHM,Kat AST,Blyze DRG,Prims SAM,Sonja BLM,Arg SMN
Livia PLD,Leone GNB,Kat WHM,Blyze AST,Lloyd DRG,Prims SAM,Arg SMN,Sonja RDM
Sonja PLD,Livia DRK,Blyze SCH,Celaena AST,Leone NIN,Prims SAM,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Blyze SCH,Kat AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Celaena PLD,Sonja GNB,Blyze WHM,Kat AST,Arg DRG,Prims SAM,Livia DNC,Leone RDM
Prims PLD,Sonja WAR,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Arg SMN,Kat RDM
Sonja PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Kat AST,Leone NIN,Prims SAM,Livia DNC,Arg SMN
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Leone MNK,Prims SAM,Sonja MCH,Kat RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Livia NIN,Arg SMN,Kat RDM
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Livia DRG,Sonja BLM,Arg SMN
Sonja WAR,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Livia NIN,Kat BRD,Leone RDM
Prims PLD,Sonja WAR,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Sonja WAR,Prims DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Livia DNC,Arg SMN
Livia PLD,Prims DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Sonja SMN,Kat RDM
Prims PLD,Sonja WAR,Celaena WHM,Blyze AST,Leone MNK,Arg DRG,Kat BRD,Livia DNC
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Blyze DRG,Sonja SAM,Arg SMN,Leone RDM
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Sonja DRG,Blyze NIN,Kat DNC,Arg SMN
Livia PLD,Leone GNB,Blyze WHM,Kat AST,Lloyd DRG,Prims SAM,Sonja MCH,Arg SMN
Arg DRK,Leone GNB,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Sonja DNC,Kat RDM
Blyze PLD,Livia DRK,Celaena WHM,Kat AST,Leone MNK,Prims SAM,Sonja MCH,Arg SMN
Livia PLD,Leone GNB,Celaena WHM,Blyze SCH,Sonja MNK,Lloyd DRG,Kat BRD,Arg SMN
Livia PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Sonja SAM,Kat BRD,Leone RDM
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja SMN
Sonja WAR,Prims DRK,Blyze SCH,Celaena AST,Leone DRG,Livia NIN,Kat BRD,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Kat BRD,Sonja RDM
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Arg DRG,Blyze NIN,Livia DNC,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Leone NIN,Kat BRD,Sonja MCH
Sonja WAR,Livia DRK,Celaena WHM,Kat AST,Blyze MNK,Lloyd DRG,Arg SMN,Leone RDM
Sonja WAR,Livia DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Leone MNK,Prims SAM,Kat BRD,Sonja MCH
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Sonja NIN,Livia DNC,Arg SMN
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Arg DRG,Leone NIN,Kat BRD,Sonja MCH
Blyze PLD,Livia DRK,Kat WHM,Celaena AST,Leone MNK,Lloyd DRG,Arg SMN,Sonja RDM
Sonja PLD,Livia DRK,Kat WHM,Celaena AST,Lloyd DRG,Prims SAM,Arg SMN,Leone RDM
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja BLM,Kat RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat BRD,Sonja BLM
Livia PLD,Sonja GNB,Kat WHM,Celaena AST,Blyze DRG,Prims SAM,Arg SMN,Leone RDM
Livia PLD,Sonja WAR,Blyze WHM,Celaena AST,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Leone DRG,Prims SAM,Kat DNC,Sonja RDM
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Leone DRG,Blyze NIN,Arg SMN,Sonja RDM
Sonja PLD,Arg DRK,Kat WHM,Celaena AST,Lloyd DRG,Blyze NIN,Livia DNC,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze SAM,Sonja SMN,Kat RDM
Celaena PLD,Sonja DRK,Kat WHM,Blyze SCH,Livia DRG,Prims SAM,Arg SMN,Leone RDM
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Lloyd DRG,Sonja SAM,Kat DNC,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Lloyd DRG,Sonja NIN,Kat DNC,Leone RDM
Livia PLD,Sonja GNB,Blyze SCH,Celaena AST,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Sonja BRD,Kat DNC
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja SMN,Kat RDM
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Sonja MNK,Lloyd DRG,Arg SMN,Leone RDM
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Leone NIN,Prims SAM,Sonja BLM,Kat RDM
Prims PLD,Sonja DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Kat BRD,Livia DNC
Sonja WAR,Prims DRK,Celaena WHM,Blyze SCH,Leone MNK,Livia DRG,Kat BRD,Arg SMN
Sonja PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Leone MNK,Arg DRG,Sonja BRD,Kat RDM
Livia PLD,Sonja DRK,Blyze WHM,Celaena AST,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Sonja DRK,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Kat AST,Blyze MNK,Lloyd DRG,Sonja BRD,Arg SMN
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Lloyd DRG,Blyze SAM,Livia DNC,Sonja BLM
Livia PLD,Sonja WAR,Blyze SCH,Celaena AST,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Leone MNK,Blyze SAM,Livia DNC,Arg SMN
Sonja WAR,Prims DRK,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Sonja SAM,Livia DNC,Kat RDM
Livia PLD,Prims DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja SMN
Celaena PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Sonja PLD,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Sonja MCH,Livia DNC
Prims PLD,Sonja GNB,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat BRD,Livia DNC
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Sonja MCH,Kat RDM
Sonja PLD,Livia DRK,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Kat AST,Blyze DRG,Livia NIN,Sonja BLM,Arg SMN
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja DNC,Kat RDM
Livia DRK,Sonja GNB,Blyze SCH,Celaena AST,Leone MNK,Prims SAM,Kat DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze SCH,Livia DRG,Sonja SAM,Kat DNC,Arg SMN
Prims PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Kat BRD,Arg SMN
Livia PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Sonja SAM,Kat BRD,Arg SMN
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Prims SAM,Kat BRD,Sonja BLM
Sonja WAR,Prims DRK,Celaena WHM,Livia AST,Leone DRG,Blyze SAM,Kat DNC,Arg SMN
Celaena PLD,Leone GNB,Kat WHM,Blyze AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja SMN
Sonja WAR,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Prims SAM,Arg SMN,Kat RDM
Prims PLD,Leone GNB,Blyze WHM,Celaena AST,Arg DRG,Livia NIN,Sonja BRD,Kat RDM
Sonja PLD,Arg DRK,Blyze WHM,Celaena AST,Lloyd DRG,Livia NIN,Kat BRD,Leone RDM
Celaena PLD,Leone GNB,Blyze SCH,Kat AST,Lloyd DRG,Prims SAM,Sonja DNC,Arg SMN
Livia PLD,Sonja DRK,Kat WHM,Celaena AST,Blyze MNK,Prims SAM,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Kat WHM,Celaena AST,Blyze MNK,Leone NIN,Livia DNC,Arg SMN
Arg DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Sonja SMN,Kat RDM
Celaena PLD,Leone GNB,Kat WHM,Livia AST,Lloyd DRG,Blyze SAM,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Kat WHM,Celaena AST,Leone MNK,Blyze SAM,Sonja BLM,Arg SMN
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Sonja SMN
Celaena PLD,Sonja DRK,Blyze SCH,Livia AST,Leone MNK,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Leone NIN,Sonja MCH,Arg SMN
Livia DRK,Leone GNB,Celaena WHM,Blyze SCH,Sonja DRG,Prims SAM,Arg SMN,Kat RDM
Prims PLD,Sonja GNB,Kat WHM,Celaena AST,Lloyd DRG,Blyze SAM,Livia DNC,Arg SMN
Livia PLD,Sonja GNB,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Kat BRD,Sonja SMN
Prims PLD,Arg DRK,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Sonja BLM,Kat RDM
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Livia NIN,Sonja BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Kat DNC,Sonja SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja NIN,Kat DNC,Leone RDM
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Sonja DNC,Kat RDM
Celaena PLD,Prims DRK,Kat WHM,Blyze SCH,Arg DRG,Livia NIN,Sonja MCH,Leone RDM
Prims DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Sonja BRD,Kat RDM
Livia DRK,Sonja GNB,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Lloyd DRG,Leone NIN,Sonja SMN,Kat RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Leone MNK,Sonja NIN,Arg SMN,Kat RDM
Celaena PLD,Arg DRK,Kat WHM,Blyze AST,Lloyd DRG,Sonja SAM,Livia DNC,Leone RDM
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Sonja BRD,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Leone MNK,Lloyd DRG,Sonja MCH,Arg SMN
Prims DRK,Leone GNB,Blyze SCH,Kat AST,Lloyd DRG,Livia NIN,Arg SMN,Sonja RDM
Arg DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja SMN
Livia DRK,Sonja GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Prims PLD,Sonja DRK,Celaena WHM,Kat AST,Livia DRG,Blyze SAM,Arg SMN,Leone RDM
Celaena PLD,Prims DRK,Kat WHM,Livia AST,Lloyd DRG,Blyze SAM,Sonja BRD,Leone RDM
Prims PLD,Sonja GNB,Celaena WHM,Livia AST,Leone DRG,Blyze NIN,Arg SMN,Kat RDM
Celaena PLD,Prims DRK,Blyze WHM,Kat AST,Lloyd DRG,Livia NIN,Sonja SMN,Leone RDM
Celaena PLD,Sonja GNB,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Lloyd DRG,Kat BRD,Sonja MCH
Celaena PLD,Leone GNB,Kat WHM,Blyze AST,Livia NIN,Prims SAM,Arg SMN,Sonja RDM
Celaena PLD,Arg DRK,Blyze WHM,Kat AST,Lloyd DRG,Prims SAM,Sonja BRD,Leone RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Sonja MCH,Kat DNC
Blyze PLD,Leone GNB,Kat WHM,Celaena AST,Lloyd DRG,Livia NIN,Arg SMN,Sonja RDM
Prims PLD,Sonja GNB,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Celaena PLD,Prims DRK,Blyze SCH,Kat AST,Livia DRG,Leone NIN,Sonja MCH,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Arg SMN,Kat RDM
Prims DRK,Leone GNB,Celaena WHM,Blyze AST,Sonja MNK,Lloyd DRG,Arg SMN,Kat RDM
Livia PLD,Leone GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Sonja MCH,Kat RDM
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja MCH,Kat DNC
Blyze PLD,Prims DRK,Kat WHM,Celaena AST,Lloyd DRG,Livia NIN,Sonja SMN,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Sonja MNK,Lloyd DRG,Kat DNC,Leone RDM
Arg DRK,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Lloyd DRG,Livia DNC,Sonja SMN
Sonja WAR,Prims DRK,Celaena WHM,Livia AST,Leone NIN,Blyze SAM,Arg SMN,Kat RDM
Celaena PLD,Prims DRK,Blyze WHM,Kat AST,Lloyd DRG,Livia NIN,Sonja BRD,Arg SMN
Celaena PLD,Livia DRK,Kat WHM,Blyze SCH,Sonja DRG,Prims SAM,Arg SMN,Leone RDM
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Sonja NIN,Arg SMN,Kat RDM
Celaena PLD,Prims DRK,Kat WHM,Blyze SCH,Leone MNK,Livia DRG,Sonja MCH,Arg SMN
Blyze PLD,Sonja WAR,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
